Time,CPU,Total_Memory,Free_Memory,Used_Memory,Percentage_Utilization,Bytes_Sent,Bytes_Receive
383,2.9,2097139712,1126035456,130244608,15.5,52119026,79411672
385,0.0,2097139712,1126133760,130211840,15.5,52124315,79414474
386,0.0,2097139712,1125969920,130375680,15.5,52129469,79417272
387,2.0,2097139712,1126035456,130310144,15.5,52135023,79420078
388,1.0,2097139712,1126100992,130244608,15.5,52140346,79422550
389,2.9,2097139712,1125969920,130375680,15.5,52145448,79425018
390,1.0,2097139712,1126035456,130310144,15.5,52150945,79427886
391,0.0,2097139712,1126100992,130244608,15.5,52156401,79430560
392,2.9,2097139712,1126002688,130342912,15.5,52161689,79433094
393,1.0,2097139712,1126002688,130342912,15.5,52166902,79435896
394,1.0,2097139712,1126068224,130277376,15.5,52172262,79438504
395,0.0,2097139712,1126133760,130207744,15.5,52177416,79441038
396,1.0,2097139712,1126002688,130338816,15.5,52182798,79443580
397,0.0,2097139712,1126068224,130273280,15.5,52188033,79446316
398,0.0,2097139712,1126133760,130207744,15.5,52193513,79449090
399,2.0,2097139712,1126002688,130338816,15.5,52198988,79452090
400,2.0,2097139712,1126068224,130273280,15.5,52204583,79454958
401,0.0,2097139712,1126133760,130207744,15.5,52209978,79457892
402,1.0,2097139712,1126002688,130338816,15.5,52215245,79460760
403,1.0,2097139712,1126068224,130273280,15.5,52220931,79463896
404,2.0,2097139712,1126133760,130207744,15.5,52226131,79466628
405,1.9,2097139712,1126002688,130338816,15.5,52231717,79469566
406,1.0,2097139712,1126068224,130273280,15.5,52237348,79472236
407,1.0,2097139712,1126133760,130207744,15.5,52242742,79475166
408,1.0,2097139712,1126133760,130371584,15.5,52248134,79477840
409,1.0,2097139712,1126035456,130306048,15.5,52253246,79480572
410,1.0,2097139712,1126068224,130273280,15.5,52258724,79483180
411,1.0,2097139712,1126133760,130207744,15.5,52263995,79485784
412,0.0,2097139712,1126002688,130338816,15.5,52269389,79488714
413,2.0,2097139712,1126068224,130273280,15.5,52275173,79491652
414,1.0,2097139712,1126133760,130207744,15.5,52280471,79494186
415,0.0,2097139712,1126002688,130338816,15.5,52285730,79496856
416,0.0,2097139712,1126068224,130273280,15.5,52291306,79499662
417,2.0,2097139712,1126133760,130207744,15.5,52296736,79502460
418,4.9,2097139712,1125842944,130482176,15.5,52301954,79505002
419,2.0,2097139712,1125875712,130449408,15.5,52307342,79507800
420,2.0,2097139712,1125941248,130383872,15.5,52312649,79510404
421,0.0,2097139712,1125810176,130514944,15.5,52317742,79513206
422,1.0,2097139712,1125875712,130449408,15.5,52323220,79515814
423,1.0,2097139712,1125941248,130383872,15.5,52328543,79518286
424,0.0,2097139712,1126006784,130318336,15.5,52333797,79520952
425,1.0,2097139712,1125875712,130449408,15.5,52339010,79523820
426,1.0,2097139712,1125941248,130383872,15.5,52344331,79526598
427,1.0,2097139712,1126006784,130318336,15.5,52349963,79529734
428,1.0,2097139712,1125875712,130449408,15.5,52355241,79532334
429,1.0,2097139712,1125941248,130383872,15.5,52360256,79534918
430,2.0,2097139712,1126006784,130318336,15.5,52366146,79538866
431,0.0,2097139712,1125842944,130482176,15.5,52371633,79541734
432,1.0,2097139712,1125908480,130416640,15.5,52376907,79544334
433,1.0,2097139712,1125974016,130351104,15.5,52382252,79546938
